EDA time sample
ArrayList 0.024918 50
ArrayList 0.005397 150
ArrayList 0.013428 450
ArrayList 0.032736 1350
ArrayList 0.056274 4050
ArrayList 0.107843 12150
ArrayList 0.342893 36450
ArrayList 1.584858 109350
Deque 0.011808 50
Deque 0.008455 150
Deque 0.017731 450
Deque 0.041891 1350
Deque 0.072355 4050
Deque 0.123091 12150
Deque 0.633499 36450
Deque 1.193868 109350
HashSet 0.015866 50
HashSet 0.010088 150
HashSet 0.027817 450
HashSet 0.049245 1350
HashSet 0.103031 4050
HashSet 0.166702 12150
HashSet 0.608316 36450
HashSet 7.363285 109350
LinkedHashMap 0.030078 50
LinkedHashMap 0.03541 150
LinkedHashMap 0.216525 450
LinkedHashMap 2.630878 1350
LinkedHashMap 37.916067 4050
LinkedHashMap 400.901236 12150
LinkedHashMap 3644.636662 36450
LinkedHashMap 23138.373648 109350
TreeMap 0.0148 50
TreeMap 0.00576 150
TreeMap 0.016151 450
TreeMap 0.040042 1350
TreeMap 0.072174 4050
TreeMap 0.10555 12150
TreeMap 0.572474 36450
TreeMap 2.892773 109350
TreeSet 0.033313 50
TreeSet 0.024583 150
TreeSet 0.041971 450
TreeSet 0.100288 1350
TreeSet 0.298634 4050
TreeSet 0.856819 12150
TreeSet 3.360205 36450
TreeSet 13.267344 109350
