EDA time sample
ArrayList 0.000616 50
ArrayList 0.000344 150
ArrayList 0.00023 450
ArrayList 0.000352 1350
ArrayList 0.001112 4050
ArrayList 0.002252 12150
ArrayList 0.00328 36450
ArrayList 0.007281 109350
Deque 0.00143 50
Deque 0.001319 150
Deque 0.001451 450
Deque 0.002404 1350
Deque 0.005438 4050
Deque 0.008947 12150
Deque 0.261318 36450
Deque 0.06107 109350
HashMap 0.0014 50
HashMap 0.000702 150
HashMap 0.000691 450
HashMap 0.001147 1350
HashMap 0.001917 4050
HashMap 0.003436 12150
HashMap 0.004002 36450
HashMap 0.010772 109350
LinkedHashMap 0.000518 50
LinkedHashMap 0.000448 150
LinkedHashMap 0.000398 450
LinkedHashMap 0.000495 1350
LinkedHashMap 0.000883 4050
LinkedHashMap 0.001468 12150
LinkedHashMap 0.001455 36450
LinkedHashMap 0.003919 109350
LinkedList 0.000706 50
LinkedList 0.000519 150
LinkedList 0.000493 450
LinkedList 0.000672 1350
LinkedList 0.001368 4050
LinkedList 0.002144 12150
LinkedList 0.002454 36450
LinkedList 0.003656 109350
TreeSet 0.00843 50
TreeSet 0.007084 150
TreeSet 0.019665 450
TreeSet 0.054854 1350
TreeSet 0.227763 4050
TreeSet 0.886825 12150
TreeSet 1.28289 36450
TreeSet 3.995205 109350
