EDA time sample
ArrayList 0.067891 50
ArrayList 0.037162 150
ArrayList 0.20579 450
ArrayList 1.989751 1350
ArrayList 18.049018 4050
ArrayList 175.415532 12150
ArrayList 1673.223946 36450
ArrayList 29328.666103 109350
HashMap 0.024149 50
HashMap 0.025947 150
HashMap 0.066329 450
HashMap 0.165504 1350
HashMap 0.371251 4050
HashMap 1.466122 12150
HashMap 10.412594 36450
HashMap 34.425085 109350
HashSet 0.027933 50
HashSet 0.027407 150
HashSet 0.070942 450
HashSet 0.164012 1350
HashSet 0.319489 4050
HashSet 1.169922 12150
HashSet 6.562285 36450
HashSet 30.313008 109350
LinkedHashMap 0.023476 50
LinkedHashMap 0.024579 150
LinkedHashMap 0.064622 450
LinkedHashMap 0.160803 1350
LinkedHashMap 0.305615 4050
LinkedHashMap 1.345245 12150
LinkedHashMap 7.428056 36450
LinkedHashMap 29.061195 109350
TreeMap 0.041468 50
TreeMap 0.036678 150
TreeMap 0.118206 450
TreeMap 0.335181 1350
TreeMap 0.946649 4050
TreeMap 4.106372 12150
TreeMap 19.835509 36450
TreeMap 133.051556 109350
TreeSet 0.049323 50
TreeSet 0.042985 150
TreeSet 0.115236 450
TreeSet 0.420805 1350
TreeSet 1.401292 4050
TreeSet 6.561118 12150
TreeSet 27.243571 36450
TreeSet 155.708498 109350
