EDA time sample
ArrayList 0.161801 50
ArrayList 0.053125 150
ArrayList 0.101198 450
ArrayList 0.21593 1350
ArrayList 0.427615 4050
ArrayList 1.128705 12150
ArrayList 4.670379 36450
ArrayList 23.976151 109350
HashMap 0.030512 50
HashMap 0.050974 150
HashMap 0.046816 450
HashMap 0.1016 1350
HashMap 0.35759 4050
HashMap 1.551037 12150
HashMap 4.439373 36450
HashMap 18.23613 109350
HashSet 0.026806 50
HashSet 0.048826 150
HashSet 0.044218 450
HashSet 0.095154 1350
HashSet 0.312101 4050
HashSet 1.357459 12150
HashSet 3.859265 36450
HashSet 17.931648 109350
LinkedHashMap 0.127004 50
LinkedHashMap 0.087365 150
LinkedHashMap 0.188708 450
LinkedHashMap 0.334491 1350
LinkedHashMap 0.739638 4050
LinkedHashMap 2.781041 12150
LinkedHashMap 9.742676 36450
LinkedHashMap 41.164358 109350
TreeMap 0.035113 50
TreeMap 0.058441 150
TreeMap 0.079402 450
TreeMap 0.146745 1350
TreeMap 0.366723 4050
TreeMap 1.433377 12150
TreeMap 3.60623 36450
TreeMap 15.821906 109350
TreeSet 0.012893 50
TreeSet 0.020376 150
TreeSet 0.057391 450
TreeSet 0.081104 1350
TreeSet 0.16188 4050
TreeSet 0.818673 12150
TreeSet 2.797712 36450
TreeSet 9.624124 109350
