EDA time sample
ArrayList 0.006023 50
ArrayList 0.004402 150
ArrayList 0.01143 450
ArrayList 0.015066 1350
ArrayList 0.021245 4050
ArrayList 0.020655 12150
ArrayList 0.048323 36450
ArrayList 0.412133 109350
HashMap 0.000637 50
HashMap 0.000397 150
HashMap 0.000429 450
HashMap 0.00062 1350
HashMap 0.001929 4050
HashMap 0.004241 12150
HashMap 0.010262 36450
HashMap 0.016754 109350
HashSet 0.007351 50
HashSet 0.002931 150
HashSet 0.003854 450
HashSet 0.024836 1350
HashSet 0.084641 4050
HashSet 0.32058 12150
HashSet 1.180327 36450
HashSet 4.172283 109350
LinkedHashMap 0.00044 50
LinkedHashMap 0.000283 150
LinkedHashMap 0.000291 450
LinkedHashMap 0.000394 1350
LinkedHashMap 0.001113 4050
LinkedHashMap 0.001955 12150
LinkedHashMap 0.006531 36450
LinkedHashMap 0.008301 109350
TreeMap 0.000581 50
TreeMap 0.000312 150
TreeMap 0.000472 450
TreeMap 0.000545 1350
TreeMap 0.001347 4050
TreeMap 0.002115 12150
TreeMap 0.009388 36450
TreeMap 0.014469 109350
TreeSet 0.004924 50
TreeSet 0.004568 150
TreeSet 0.00939 450
TreeSet 0.018987 1350
TreeSet 0.033131 4050
TreeSet 0.145687 12150
TreeSet 0.371958 36450
TreeSet 1.517983 109350
