EDA time sample
ArrayList 0.194357 50
ArrayList 0.062159 150
ArrayList 0.113775 450
ArrayList 0.315847 1350
ArrayList 0.831113 4050
ArrayList 2.759956 12150
ArrayList 9.716065 36450
ArrayList 38.040168 109350
HashMap 0.0482 50
HashMap 0.04382 150
HashMap 0.064618 450
HashMap 0.160684 1350
HashMap 0.542393 4050
HashMap 2.282143 12150
HashMap 6.001606 36450
HashMap 23.799149 109350
HashSet 0.046968 50
HashSet 0.032587 150
HashSet 0.060767 450
HashSet 0.154233 1350
HashSet 0.494491 4050
HashSet 2.100138 12150
HashSet 5.604816 36450
HashSet 24.129627 109350
LinkedHashMap 0.144869 50
LinkedHashMap 0.087669 150
LinkedHashMap 0.188031 450
LinkedHashMap 0.439063 1350
LinkedHashMap 1.140309 4050
LinkedHashMap 4.267441 12150
LinkedHashMap 13.697286 36450
LinkedHashMap 52.407119 109350
TreeMap 0.044088 50
TreeMap 0.040216 150
TreeMap 0.083591 450
TreeMap 0.187252 1350
TreeMap 0.505962 4050
TreeMap 1.775647 12150
TreeMap 4.702295 36450
TreeMap 18.960056 109350
TreeSet 0.04137 50
TreeSet 0.03452 150
TreeSet 0.064668 450
TreeSet 0.160013 1350
TreeSet 0.489843 4050
TreeSet 1.713562 12150
TreeSet 4.804616 36450
TreeSet 19.094519 109350
