collection time(ns) sample
ArrayList 560738 1000
Deque 570552 1000
HashMap 275873 1000
LinkedHashMap 230186 1000
LinkedList 106980 1000
TreeSet 450907 1000
ArrayList 835212 10000
Deque 645206 10000
HashMap 1205209 10000
LinkedHashMap 1424248 10000
LinkedList 578080 10000
TreeSet 2568251 10000
ArrayList 2838020 50000
Deque 1954911 50000
HashMap 6359567 50000
LinkedHashMap 6929644 50000
LinkedList 1458464 50000
TreeSet 11737320 50000
ArrayList 7290903 100000
Deque 3327231 100000
HashMap 25023262 100000
LinkedHashMap 21885624 100000
LinkedList 3207178 100000
TreeSet 23955652 100000
ArrayList 50259352 500000
Deque 25984038 500000
HashMap 147184462 500000
LinkedHashMap 117495788 500000
LinkedList 31750815 500000
TreeSet 166897303 500000

