EDA time sample
ArrayList 24918 50
Deque 11808 50
HashSet 15866 50
LinkedHashMap 30078 50
TreeMap 14800 50
TreeSet 33313 50
ArrayList 5397 150
Deque 8455 150
HashSet 10088 150
LinkedHashMap 35410 150
TreeMap 5760 150
TreeSet 24583 150
ArrayList 13428 450
Deque 17731 450
HashSet 27817 450
LinkedHashMap 216525 450
TreeMap 16151 450
TreeSet 41971 450
ArrayList 32736 1350
Deque 41891 1350
HashSet 49245 1350
LinkedHashMap 2630878 1350
TreeMap 40042 1350
TreeSet 100288 1350
ArrayList 56274 4050
Deque 72355 4050
HashSet 103031 4050
LinkedHashMap 37916067 4050
TreeMap 72174 4050
TreeSet 298634 4050
ArrayList 107843 12150
Deque 123091 12150
HashSet 166702 12150
LinkedHashMap 400901236 12150
TreeMap 105550 12150
TreeSet 856819 12150
ArrayList 342893 36450
Deque 633499 36450
HashSet 608316 36450
LinkedHashMap 3644636662 36450
TreeMap 572474 36450
TreeSet 3360205 36450
ArrayList 1584858 109350
Deque 1193868 109350
HashSet 7363285 109350
LinkedHashMap 23138373648 109350
TreeMap 2892773 109350
TreeSet 13267344 109350
