collection time(ns) sample
ArrayList 4526 1000
Deque 220130 1000
HashMap 6017 1000
LinkedHashMap 3026 1000
LinkedList 20033 1000
TreeSet 80572 1000
ArrayList 7821 10000
Deque 707338 10000
HashMap 11597 10000
LinkedHashMap 5340 10000
LinkedList 754285 10000
TreeSet 1563336 10000
ArrayList 10717 50000
Deque 592605 50000
HashMap 18240 50000
LinkedHashMap 7785 50000
LinkedList 3274688 50000
TreeSet 3327777 50000
ArrayList 8872 100000
Deque 1484884 100000
HashMap 19347 100000
LinkedHashMap 5022 100000
LinkedList 3424806 100000
TreeSet 4011214 100000
ArrayList 18409 500000
Deque 7400978 500000
HashMap 42021 500000
LinkedHashMap 10912 500000
LinkedList 3197904 500000
TreeSet 7149557 500000

