collection time(ns) sample
ArrayList 586 1000
Deque 1927 1000
HashMap 1031 1000
LinkedHashMap 583 1000
LinkedList 393 1000
TreeSet 3519 1000
ArrayList 661 10000
Deque 1266 10000
HashMap 832 10000
LinkedHashMap 517 10000
LinkedList 356 10000
TreeSet 2820 10000
ArrayList 2919 50000
Deque 3272 50000
HashMap 3298 50000
LinkedHashMap 1520 50000
LinkedList 1395 50000
TreeSet 7508 50000
ArrayList 2984 100000
Deque 3791 100000
HashMap 3950 100000
LinkedHashMap 1749 100000
LinkedList 1647 100000
TreeSet 7023 100000
ArrayList 7119 500000
Deque 7051 500000
HashMap 6419 500000
LinkedHashMap 4102 500000
LinkedList 3918 500000
TreeSet 9234 500000

