collection time(ns) sample
ArrayList 1177 1000
Deque 49202 1000
HashMap 1963 1000
LinkedHashMap 795 1000
LinkedList 784 1000
TreeSet 53216 1000
ArrayList 1079 10000
Deque 185250 10000
HashMap 1316 10000
LinkedHashMap 702 10000
LinkedList 616 10000
TreeSet 220566 10000
ArrayList 3370 50000
Deque 317214 50000
HashMap 3984 50000
LinkedHashMap 1944 50000
LinkedList 2650 50000
TreeSet 1986138 50000
ArrayList 2597 100000
Deque 630125 100000
HashMap 4533 100000
LinkedHashMap 1601 100000
LinkedList 2197 100000
TreeSet 4950411 100000
ArrayList 7826 500000
Deque 3287165 500000
HashMap 8038 500000
LinkedHashMap 4716 500000
LinkedList 9605 500000
TreeSet 15871002 500000

