collection time(ns) sample
ArrayList 12252917 1000
HashMap 679791 1000
HashSet 755307 1000
LinkedHashMap 749161 1000
TreeMap 919322 1000
TreeSet 2076111 1000
ArrayList 1519694412 10000
HashMap 10376720 10000
HashSet 7954952 10000
LinkedHashMap 9263638 10000
TreeMap 8671545 10000
TreeSet 37930200 10000
ArrayList 60558381544 50000
HashMap 92146066 50000
HashSet 65589593 50000
LinkedHashMap 81892422 50000
TreeMap 67546291 50000
TreeSet 271946951 50000
ArrayList 235496347328 100000
HashMap 279418767 100000
HashSet 176056473 100000
LinkedHashMap 168730024 100000
TreeMap 156169410 100000
TreeSet 644282423 100000
ArrayList 1807110459337 500000
HashMap 231070970 500000
HashSet 280360461 500000
LinkedHashMap 297537376 500000
TreeMap 210825475 500000
TreeSet 2135831681 500000
