EDA time sample
ArrayList 67891 50
HashMap 24149 50
HashSet 27933 50
LinkedHashMap 23476 50
TreeMap 41468 50
TreeSet 49323 50
ArrayList 37162 150
HashMap 25947 150
HashSet 27407 150
LinkedHashMap 24579 150
TreeMap 36678 150
TreeSet 42985 150
ArrayList 205790 450
HashMap 66329 450
HashSet 70942 450
LinkedHashMap 64622 450
TreeMap 118206 450
TreeSet 115236 450
ArrayList 1989751 1350
HashMap 165504 1350
HashSet 164012 1350
LinkedHashMap 160803 1350
TreeMap 335181 1350
TreeSet 420805 1350
ArrayList 18049018 4050
HashMap 371251 4050
HashSet 319489 4050
LinkedHashMap 305615 4050
TreeMap 946649 4050
TreeSet 1401292 4050
ArrayList 175415532 12150
HashMap 1466122 12150
HashSet 1169922 12150
LinkedHashMap 1345245 12150
TreeMap 4106372 12150
TreeSet 6561118 12150
ArrayList 1673223946 36450
HashMap 10412594 36450
HashSet 6562285 36450
LinkedHashMap 7428056 36450
TreeMap 19835509 36450
TreeSet 27243571 36450
ArrayList 29328666103 109350
HashMap 34425085 109350
HashSet 30313008 109350
LinkedHashMap 29061195 109350
TreeMap 133051556 109350
TreeSet 155708498 109350
