collection time(ns) sample
ArrayList 83614 1000
HashMap 6556 1000
HashSet 168290 1000
LinkedHashMap 3371 1000
TreeMap 8292 1000
TreeSet 116639 1000
ArrayList 378471 10000
HashMap 7710 10000
HashSet 872367 10000
LinkedHashMap 4746 10000
TreeMap 10916 10000
TreeSet 614244 10000
ArrayList 1291264 50000
HashMap 23266 50000
HashSet 6418844 50000
LinkedHashMap 12524 50000
TreeMap 23138 50000
TreeSet 5993114 50000
ArrayList 3533300 100000
HashMap 63356 100000
HashSet 8792437 100000
LinkedHashMap 28891 100000
TreeMap 52831 100000
TreeSet 15141517 100000
ArrayList 4760070 500000
HashMap 95797 500000
HashSet 16666190 500000
LinkedHashMap 30185 500000
TreeMap 46105 500000
TreeSet 88529722 500000
