collection time(ns) sample
ArrayList 1280493 1000
HashMap 860027 1000
HashSet 822720 1000
LinkedHashMap 1686419 1000
TreeMap 1068576 1000
TreeSet 534563 1000
ArrayList 7917329 10000
HashMap 9050319 10000
HashSet 9195820 10000
LinkedHashMap 11003716 10000
TreeMap 11346915 10000
TreeSet 2316669 10000
ArrayList 73489497 50000
HashMap 99780544 50000
HashSet 104159039 50000
LinkedHashMap 110065190 50000
TreeMap 117234064 50000
TreeSet 15047321 50000
ArrayList 169224827 100000
HashMap 246575610 100000
HashSet 230883303 100000
LinkedHashMap 267233474 100000
TreeMap 267516332 100000
TreeSet 26504159 100000
ArrayList 564937166 500000
HashMap 1768528740 500000
HashSet 1702208251 500000
LinkedHashMap 1682281781 500000
TreeMap 1962842933 500000
TreeSet 185968461 500000

