collection time(ns) sample
ArrayList 488998 1000
HashMap 348041 1000
HashSet 325622 1000
LinkedHashMap 506361 1000
TreeMap 675493 1000
TreeSet 327847 1000
ArrayList 2734823 10000
HashMap 3577048 10000
HashSet 3461587 10000
LinkedHashMap 3323109 10000
TreeMap 3622279 10000
TreeSet 3597979 10000
ArrayList 17803598 50000
HashMap 32586684 50000
HashSet 33572383 50000
LinkedHashMap 24547276 50000
TreeMap 31833090 50000
TreeSet 31703552 50000
ArrayList 39293657 100000
HashMap 82325392 100000
HashSet 79829915 100000
LinkedHashMap 61718156 100000
TreeMap 80474345 100000
TreeSet 80972077 100000
ArrayList 318079856 500000
HashMap 536945105 500000
HashSet 532020241 500000
LinkedHashMap 465203008 500000
TreeMap 536437551 500000
TreeSet 583776911 500000

