EDA time sample
ArrayList 20724 50
Deque 9941 50
HashSet 11927 50
LinkedHashMap 15958 50
TreeMap 7782 50
TreeSet 40338 50
ArrayList 2963 150
Deque 5639 150
HashSet 6480 150
LinkedHashMap 8291 150
TreeMap 3344 150
TreeSet 17156 150
ArrayList 8123 450
Deque 11891 450
HashSet 20688 450
LinkedHashMap 25490 450
TreeMap 10097 450
TreeSet 35870 450
ArrayList 39010 1350
Deque 30655 1350
HashSet 42180 1350
LinkedHashMap 47805 1350
TreeMap 26576 1350
TreeSet 69975 1350
ArrayList 41256 4050
Deque 59444 4050
HashSet 106846 4050
LinkedHashMap 108339 4050
TreeMap 62951 4050
TreeSet 218403 4050
ArrayList 96525 12150
Deque 103193 12150
HashSet 133937 12150
LinkedHashMap 195402 12150
TreeMap 79364 12150
TreeSet 598419 12150
ArrayList 297674 36450
Deque 339148 36450
HashSet 658824 36450
LinkedHashMap 787996 36450
TreeMap 240564 36450
TreeSet 1995089 36450
ArrayList 1021337 109350
Deque 1189574 109350
HashSet 5365785 109350
LinkedHashMap 4545650 109350
TreeMap 832659 109350
TreeSet 6984788 109350
